graph6string,levelable,minimized solution
F?K}W,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0]"
F?Lkw,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0]"
F?NNg,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0]"
F?NJw,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
F?NNw,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0]"
F@J]o,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0]"
F@J^o,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0]"
F@J]w,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0]"
F@J^w,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 5.0]"
F@H}o,F,NA
F?L~o,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 2.0]"
F@H}w,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 4.0, 3.0]"
F?L|w,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0]"
F?L~w,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0]"
F@Fmo,T,"[2.0, 2.0, 3.0, 4.0, 2.0, 3.0, 4.0]"
F?s~g,T,"[2.0, 2.0, 2.0, 2.0, 4.0, 3.0, 2.0]"
F@Fmw,T,"[2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 4.0]"
F?L}w,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0]"
F?dzw,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0]"
F?N^W,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0]"
F?N^w,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0]"
F?N~o,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 2.0]"
F?N~w,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 5.0]"
FBXcw,T,"[2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F?\sw,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
FIO|w,T,"[2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F?\tw,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0]"
F?\vw,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0]"
F?]v_,F,NA
F?lrg,F,NA
F?\tg,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
FBEmW,F,NA
F?L|o,F,NA
F?T|o,F,NA
F?v`w,F,NA
F?lvg,F,NA
F?]rw,F,NA
F?]uw,F,NA
F?]vw,F,NA
FIQ|o,T,"[3.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F?\~_,T,"[2.0, 2.0, 2.0, 2.0, 4.0, 4.0, 2.0]"
F?]~_,T,"[2.0, 2.0, 2.0, 2.0, 4.0, 4.0, 2.0]"
F?^vo,T,"[2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 4.0]"
FIQ|w,T,"[2.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F?^vw,T,"[2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 5.0]"
F?\~g,T,"[2.0, 2.0, 2.0, 2.0, 4.0, 4.0, 2.0]"
F?\|w,T,"[2.0, 2.0, 2.0, 2.0, 4.0, 4.0, 4.0]"
F?\~w,T,"[2.0, 2.0, 2.0, 2.0, 4.0, 4.0, 5.0]"
F?^tw,T,"[2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 4.0]"
F?]}w,T,"[2.0, 2.0, 2.0, 2.0, 4.0, 4.0, 4.0]"
F?]~w,T,"[2.0, 2.0, 2.0, 2.0, 4.0, 4.0, 5.0]"
F?^~w,T,"[2.0, 2.0, 2.0, 2.0, 4.0, 5.0, 5.0]"
F?~v_,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0]"
F?~vg,T,"[2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0]"
F?^~o,T,"[2.0, 2.0, 2.0, 2.0, 4.0, 4.0, 2.0]"
F?~vw,T,"[2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 5.0]"
F?~~w,T,"[2.0, 2.0, 2.0, 2.0, 5.0, 5.0, 5.0]"
F@Q?w,F,NA
F@Q@w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F@QBw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@QFw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
F@HSO,F,NA
F@O\G,F,NA
FA_pW,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
FHQ?w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F@OsW,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F@R@o,F,NA
F@QGw,F,NA
FG_qw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
FGEJg,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
FG_Zg,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F`Q@w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
FA_hw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F@QHw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F`?^W,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
FCHJw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
FGEJw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F_Cnw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
FGC\W,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
FGC^G,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
FGC^W,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
FGC\w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
FGC^w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
FK?}O,T,"[2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0]"
FAMRW,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F@QZo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F_W\g,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
FA_xw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
FAIXw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
FCHiw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0]"
FG_yw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
FGC}W,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
FK?}W,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
FA_~o,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@`Zw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@QZw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F_Dlw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@Q^w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
F@LSW,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F@Maw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
FAStW,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
FGD\o,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@Lew,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@_zw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
FAG}w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
FGC}w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@O~w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
F`?}O,F,NA
FODZo,F,NA
F_K^G,F,NA
FGEZo,F,NA
FGEXw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0]"
FGDkw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F`?}W,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F`C^W,T,"[2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0]"
FODZw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F_C~W,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
FGEZw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F_C~w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
F@`zo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F@Q}o,F,NA
F@P|o,F,NA
F_D|o,T,"[3.0, 3.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F@`~o,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0]"
F@`zw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F@Q}w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F@P|w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F_D|w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F@`~w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
F@P~o,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0]"
F@P~w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
F@R~o,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0]"
F@R~w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
FHQSO,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
FGSkg,F,NA
FCXPW,F,NA
Fk?gw,F,NA
FK_qW,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
FGC{o,F,NA
FICkW,F,NA
FKHGw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F?L\_,F,NA
FGK]G,F,NA
F_StW,F,NA
FGUPw,F,NA
FOLQw,F,NA
FoCiw,F,NA
FKG]W,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
FAN@w,F,NA
FAYPw,F,NA
F_YPw,F,NA
F@YPw,F,NA
FaG\w,F,NA
FB_mw,F,NA
F@YRw,F,NA
F@YVw,F,NA
FGLSW,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F@Tcw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
FGLSw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@Tdw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@Tfw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
F@Umg,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F@Xsw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F@hqw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0]"
FBJKw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0]"
F@Y^_,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@Lkw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F@h^g,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@Y]w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@Ujw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@Y^w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
FHTcw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@Tkw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
FHO}w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
FALlw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@Tlw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
FGL^w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
FAdl_,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0]"
F@U^?,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
FBebW,T,"[2.0, 2.0, 3.0, 3.0, 2.0, 3.0, 2.0]"
F@fbo,F,NA
FHQZo,F,NA
FBO|W,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
FHQ[w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
FHQ^o,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0]"
FD`jw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F@jRw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
FHQZw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
FHQ^w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
F@W}g,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@L[w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F@T\W,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]"
F@Lmw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@MZw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
FAS|w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
FAK~W,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@L^w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
F@Vcw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0]"
F@U^W,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@UZw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]"
F@U^w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
FHQ}o,F,NA
FGN^o,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0]"
FGU|w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
FGL}w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
FHQ}w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
FGN^w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
F@d~o,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0]"
F@Vlw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F@dzw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F@T|w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
F@U}w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
FGN\w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
FAM~w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
F@T~o,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0]"
F@T~w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
F@V~o,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0]"
F@V~w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
