graph6 string,levelable,minimized solution
G?ABEo,F,NA
G?ABCs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
G?ABFo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
G?ABEw,F,NA
G?ABEs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
G?ABC{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
G?ABFw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
G?ABFs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
G?ABE{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
G?ABF{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 6.0]"
G?ACNo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
G?ACNw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
G?ACN{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 6.0]"
G?AF?w,F,NA
G?AFEo,F,NA
G?AFBo,F,NA
G?AFCw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
G?AFAw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
G?AFCs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
G?AF?{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
G?AFFo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0]"
G?AFEw,F,NA
G?AFBw,T,"[3.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0]"
G?AFEs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
G?AFBs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
G?AFC{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
G?AFA{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
G?AFFw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
G?AFFs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
G?AFE{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
G?AFB{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
G?AFF{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 6.0]"
G?ABeO,F,NA
G?ABfO,F,NA
G?ABeW,F,NA
G?ABeS,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 3.0]"
G?ABc[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 3.0]"
G?ABfo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0]"
G?ABfW,F,NA
G?ABfS,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
G?ABe[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
G?ABfw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 3.0]"
G?ABfs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 5.0]"
G?ABf[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 5.0]"
G?ABf{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 6.0]"
G?AELo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
G?AEJo,F,NA
G?AENo,F,NA
G?AELw,F,NA
G?AELs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
G?AEJs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
G?AENw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0]"
G?AENs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
G?AEL{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0]"
G?AEN{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 6.0]"
G?AFfO,F,NA
G?AFeW,F,NA
G?AFbW,T,"[3.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0]"
G?AFfo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0]"
G?AFfW,F,NA
G?AFbw,T,"[4.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0, 5.0]"
G?AFfS,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
G?AFe[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
G?AFb[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
G?AFfw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 3.0]"
G?AFfs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 5.0]"
G?AFf[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 5.0]"
G?AFb{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 5.0]"
G?AFf{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 6.0]"
G?ABv_,F,NA
G?ABvG,F,NA
G?ABvo,F,NA
G?ABvg,F,NA
G?ABvc,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 4.0]"
G?ABvK,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 4.0]"
G?ABvw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 2.0]"
G?ABvs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 5.0]"
G?ABvk,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 5.0]"
G?ABv{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 6.0]"
G?AFKw,F,NA
G?AFNo,F,NA
G?AFMw,F,NA
G?AFK{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0]"
G?AFNw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 3.0]"
G?AFNs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 5.0]"
G?AFM{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 5.0]"
G?AFN{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 6.0]"
G?AFvo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0]"
G?AFvg,F,NA
G?AFrw,T,"[5.0, 2.0, 2.0, 2.0, 2.0, 5.0, 5.0, 5.0]"
G?AFvw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 2.0]"
G?AFvs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 5.0]"
G?AFvk,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 5.0]"
G?AFr{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 5.0]"
G?AFv{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 6.0]"
G?AFnW,F,NA
G?AFnw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 2.0]"
G?AFn[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 5.0]"
G?AFn{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 6.0]"
G?AF~w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0, 2.0]"
G?AF~{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 6.0, 6.0]"
G?BEDo,F,NA
G?BEFo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0]"
G?BEDw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
G?BEFw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 5.0]"
G?BEF{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 6.0]"
G?BDAo,F,NA
G?BDEo,F,NA
G?BDBo,F,NA
G?BDCw,F,NA
G?BDAw,F,NA
G?BD@w,F,NA
G?BD?{,F,NA
G?BDFo,F,NA
G?BDEw,F,NA
G?BDDw,F,NA
G?BDBw,F,NA
G?BDC{,F,NA
G?BDA{,F,NA
G?BDFw,F,NA
G?BDE{,F,NA
G?BDB{,F,NA
G?BDF{,F,NA
G?B@dO,F,NA
G?B@`W,F,NA
G?B@_[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 2.0]"
G?B@fO,F,NA
G?B@dW,F,NA
G?B@`w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 2.0]"
G?B@c[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0]"
G?B@fo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 2.0]"
G?B@fW,F,NA
G?B@dw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0]"
G?B@e[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
G?B@d[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
G?B@fw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
G?B@f[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0]"
G?B@f{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 6.0]"
G?BF?w,F,NA
G?BFEo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
G?BFDo,F,NA
G?BFCw,F,NA
G?BF@w,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0]"
G?BFFo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
G?BFEw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0]"
G?BFDw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0]"
G?BFEs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
G?BFDs,F,NA
G?BFC{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0]"
G?BF@{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0]"
G?BFFw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0]"
G?BFFs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 4.0]"
G?BFE{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0]"
G?BFD{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0]"
G?BFF{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 6.0]"
G?BDbO,F,NA
G?BDaW,F,NA
G?BD`W,F,NA
G?BDfO,F,NA
G?BDdo,F,NA
G?BDbo,F,NA
G?BDeW,F,NA
G?BDdW,F,NA
G?BDbW,F,NA
G?BD`w,F,NA
G?BDeS,F,NA
G?BDdS,F,NA
G?BDbS,F,NA
G?BDfo,F,NA
G?BDfW,F,NA
G?BDdw,F,NA
G?BDbw,F,NA
G?BDfS,F,NA
G?BDds,F,NA
G?BDbs,F,NA
G?BDe[,F,NA
G?BDd[,F,NA
G?BDb[,F,NA
G?BD`{,F,NA
G?BDfw,F,NA
G?BDfs,F,NA
G?BDf[,F,NA
G?BDd{,F,NA
G?BDb{,F,NA
G?BDf{,F,NA
G?B@v?,F,NA
G?B@t_,F,NA
G?B@v_,F,NA
G?B@to,F,NA
G?B@vG,F,NA
G?B@tg,F,NA
G?B@pw,F,NA
G?B@vC,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 2.0]"
G?B@tc,F,NA
G?B@uK,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 3.0]"
G?B@tK,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 3.0]"
G?B@vo,F,NA
G?B@vg,F,NA
G?B@tw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 2.0]"
G?B@vc,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 3.0]"
G?B@ts,F,NA
G?B@vK,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0]"
G?B@tk,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0]"
G?B@p{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0]"
G?B@vw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 3.0]"
G?B@vs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0]"
G?B@vk,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0]"
G?B@t{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0]"
G?B@v{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 6.0]"
G?BELo,F,NA
G?BENo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
G?BELw,F,NA
G?BEH{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
G?BENw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
G?BEL{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0]"
G?BEN{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 6.0]"
G?BDMo,F,NA
G?BDJo,F,NA
G?BDKw,F,NA
G?BDHw,F,NA
G?BDG{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0]"
G?BDNo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
G?BDMw,F,NA
G?BDLw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0]"
G?BDJw,F,NA
G?BDK{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
G?BDI{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
G?BDNw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
G?BDM{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0]"
G?BDJ{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0]"
G?BDN{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 6.0]"
G?B@nO,T,"[2.0, 2.0, 3.0, 2.0, 2.0, 3.0, 4.0, 4.0]"
G?B@mW,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
G?B@lW,F,NA
G?B@hw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 2.0]"
G?B@no,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
G?B@nW,F,NA
G?B@lw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0]"
G?B@m[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
G?B@l[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
G?B@nw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
G?B@n[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0]"
G?B@n{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 6.0]"
G?BFfO,F,NA
G?BFfo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 2.0]"
G?BFfW,F,NA
G?BFdw,T,"[2.0, 3.0, 2.0, 2.0, 2.0, 4.0, 3.0, 5.0]"
G?BFfS,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0]"
G?BFfw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
G?BFfs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0]"
G?BFf[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0]"
G?BFd{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0]"
G?BFf{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 6.0]"
G?BDv_,F,NA
G?BDto,F,NA
G?BDro,F,NA
G?BDvG,F,NA
G?BDvo,F,NA
G?BDvg,F,NA
G?BDtw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 2.0]"
G?BDrw,F,NA
G?BDvc,F,NA
G?BDts,F,NA
G?BDrs,F,NA
G?BDvK,F,NA
G?BDvw,F,NA
G?BDvs,F,NA
G?BDvk,F,NA
G?BDt{,F,NA
G?BDr{,F,NA
G?BDv{,F,NA
G?BFMo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 3.0]"
G?BFNo,F,NA
G?BFMw,F,NA
G?BFLw,F,NA
G?BFMs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 3.0]"
G?BFNw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 3.0]"
G?BFNs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0]"
G?BFM{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0]"
G?BFL{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0]"
G?BFN{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 6.0]"
G?BDnO,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 3.0]"
G?BDlo,F,NA
G?BDjo,F,NA
G?BDno,T,"[2.0, 3.0, 2.0, 2.0, 2.0, 4.0, 4.0, 4.0]"
G?BDnW,F,NA
G?BDlw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 2.0]"
G?BDjw,F,NA
G?BDnS,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 3.0]"
G?BDls,F,NA
G?BDjs,F,NA
G?BDm[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0]"
G?BDl[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0]"
G?BDj[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0]"
G?BDnw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 3.0]"
G?BDns,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0]"
G?BDn[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0]"
G?BDl{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0]"
G?BDj{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0]"
G?BDn{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 6.0]"
G?B@~_,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 3.0]"
G?B@|o,T,"[4.0, 2.0, 2.0, 2.0, 2.0, 5.0, 4.0, 4.0]"
G?B@~o,T,"[3.0, 2.0, 2.0, 2.0, 2.0, 4.0, 4.0, 4.0]"
G?B@~g,F,NA
G?B@|w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 2.0]"
G?B@~c,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 3.0]"
G?B@|s,F,NA
G?B@~K,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0]"
G?B@|k,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0]"
G?B@x{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0]"
G?B@~w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 3.0]"
G?B@~s,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0]"
G?B@~k,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0]"
G?B@|{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 5.0]"
G?B@~{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 6.0]"
G?BFvo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 2.0]"
G?BFvw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 3.0]"
G?BFvs,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 4.0]"
G?BFv{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 6.0]"
G?BFno,F,NA
G?BFnW,F,NA
G?BFnw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 2.0]"
G?BFns,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 4.0]"
G?BFn[,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 5.0]"
G?BFn{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 6.0]"
G?BD~o,T,"[2.0, 4.0, 2.0, 2.0, 2.0, 5.0, 5.0, 4.0]"
G?BD~g,F,NA
G?BD|w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 2.0]"
G?BDzw,F,NA
G?BD~w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 2.0]"
G?BD~s,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 4.0]"
G?BD~k,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 5.0]"
G?BD|{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 5.0]"
G?BDz{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 5.0]"
G?BD~{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 6.0]"
G?BF~w,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 5.0, 2.0]"
G?BF~{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 6.0, 6.0]"
G?BfEo,F,NA
G?Bf?{,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
G?BfFo,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0]"
G?BfEw,T,"[2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 5.0]"
